Startup_ID,Company_Name,Industry,One_Line_Pitch,Founding_Year,Headquarters_Location,Funding_Stage,Last_Funding_Amount_USD_Millions,Number_of_Employees,Website,LinkedIn_Profile,Twitter_Handle,CEO_Name,Core_Technology,Market_Size_Billion_USD
109,Murphy and Sons,Mobility,Mobility-as-a-service with dynamic routing.,2018,"West Micheleberg, Bulgaria",,,68.0,murphyandsons.tech,https://linkedin.com/company/murphy-and-sons,@murphyandson6173,Rebecca Rodriguez,Virtual Reality,25.0
110,Anderson LLC,PropTech,Modular construction optimized with analytics.,2022,"New Mario, China",Series A,,40.0,andersonllc.co,https://linkedin.com/company/anderson-llc,@andersonllc4669,Cameron Fisher,Quantum Computing,150.0
111,Reese Group,PropTech,Automated compliance for real estate regulations.,2022,"Stricklandhaven, Nauru",Series B,24.09,165.0,reesegroup.co,https://linkedin.com/company/reese-group,@reesegroup2656,Jonathan Dougherty,Cloud Computing,40.0
112,Acosta Ltd,Social Media,Live captioning for accessibility in social broadcasts.,2011,"Stephentown, Bahamas",Series D,178.98,,acostaltd.com,https://linkedin.com/company/acosta-ltd,@acostaltd2627,Dr. Jessica Rodriguez DDS,Cloud Computing,60.0
113,Jones-Miller,FinTech,Secure fintech APIs enabling embedded partnerships.,2022,"North David, Nigeria",Series B,56.52,131.0,jonesmiller.tech,https://linkedin.com/company/jones-miller,@jonesmiller6127,Kimberly Nguyen,Quantum Computing,50.0
114,"Schmidt, Chavez and Jacobs",E-commerce,Instant resale/recommerce platforms minimizing waste.,2018,"Port Jacquelineside, Saint Helena",Seed,0.9,28.0,schmidtchavezandjacobs.co,,@schmidtchave2274,Jessica Beasley,Quantum Computing,
115,Morgan-Chavez,SaaS,Zero-trust SaaS identity management for enterprises.,2024,"Blairmouth, Japan",Series A,15.97,25.0,morganchavez.com,https://linkedin.com/company/morgan-chavez,@morganchavez3907,David Mckay,NLP,120.0
116,"Leblanc, Jones and Decker",Mobility,Mobility hubs integrating multi-modal transport in cities.,2025,"South Colinstad, Sudan",IPO,,2281.0,leblancjonesanddecker.app,https://linkedin.com/company/leblanc-jones-and-decker,@leblancjones2353,Anthony Frye,Quantum Computing,70.0
117,"Rivera, Martinez and Gomez",Cybersecurity,Micro-segmentation restricting breach spread.,2019,"Parrishton, France",Seed,,18.0,riveramartinezandgomez.tech,https://linkedin.com/company/rivera-martinez-and-gomez,@riveramartin9080,Heather Lane,Deep Learning,5.0
118,Moore Group,E-commerce,Customer journey mapping powered by real-time data.,2010,"Port Daniel, Tanzania",Pre-Seed,1.11,10.0,mooregroup.app,https://linkedin.com/company/moore-group,@mooregroup5448,Ashley Ramirez,Computer Vision,25.0
119,Aguirre PLC,HealthTech,Healthcare AI ensuring bias-free diagnostic decisions.,2023,"New Sarahview, Antarctica (the territory South of 60 deg S)",IPO,830.35,,aguirreplc.co,https://linkedin.com/company/aguirre-plc,@aguirreplc606,Michael Parker,Edge Computing,70.0
120,Bell-White,E-commerce,Visual search technology turning images into buying actions.,2020,"New Diane, Bangladesh",Series C,95.16,485.0,bellwhite.app,https://linkedin.com/company/bell-white,@bellwhite3132,Mark Johnson,Quantum Computing,70.0
121,"Moreno, Bennett and Chavez",E-commerce,Smart bundling engines increasing average order value.,2019,"West Larry, Greece",Seed,2.15,14.0,morenobennettandchavez.ai,https://linkedin.com/company/moreno-bennett-and-chavez,@morenobennet3061,Latoya Miller,Computer Vision,
122,Moore PLC,SaaS,Compliance-ready SaaS solutions meeting audit requirements.,2021,"Lake Christophermouth, Panama",Seed,,28.0,mooreplc.io,https://linkedin.com/company/moore-plc,@mooreplc8938,Lawrence Perry,Cybersecurity,70.0
123,Fischer Inc,SaaS,Embedded generative AI for smarter document automation.,2022,"Russellport, Philippines",Private Equity,69.06,922.0,fischerinc.tech,https://linkedin.com/company/fischer-inc,@fischerinc7127,Katelyn Estrada,Cloud Computing,60.0
124,Walker PLC,Social Media,Social-first live commerce events driving engagement.,2024,"North Jamesborough, Seychelles",Private Equity,355.73,492.0,walkerplc.tech,https://linkedin.com/company/walker-plc,@walkerplc7180,David Murphy,Augmented Reality,10.0
125,Jimenez Group,E-commerce,AI insights predicting seasonal retail demand.,2012,"East Omar, Romania",Pre-Seed,1.43,2.0,jimenezgroup.tech,https://linkedin.com/company/jimenez-group,@jimenezgroup2256,Justin Barnett,IoT,90.0
126,Jones-Hensley,FinTech,Hyper-personalized savings solutions through AI nudges.,2024,"South Andrewland, Tokelau",Series A,12.11,43.0,joneshensley.app,https://linkedin.com/company/jones-hensley,@joneshensley7312,Jeffrey Sullivan,Artificial Intelligence,40.0
127,"Butler, Wilson and Smith",Blockchain,Proof-of-stake innovations for energy efficiency.,2010,"Georgemouth, Switzerland",Seed,4.52,4.0,butlerwilsonandsmith.app,https://linkedin.com/company/butler-wilson-and-smith,@butlerwilson5237,Heidi Kim,NLP,90.0
128,Sanchez PLC,SaaS,Unified communications embedded inside SaaS dashboards.,2013,"Warrenfurt, Trinidad and Tobago",Series A,11.16,,sanchezplc.io,https://linkedin.com/company/sanchez-plc,@sanchezplc2276,Gerald Cook,Edge Computing,50.0
129,Jones Ltd,E-commerce,AI-powered fraud detection securing transactions.,2010,"New Williamstad, Guernsey",,,,jonesltd.co,https://linkedin.com/company/jones-ltd,@jonesltd7843,Sabrina Briggs,Cloud Computing,120.0
130,Garcia LLC,E-commerce,Real-time supply chain visibility improving reliability.,2022,"East Carrie, Senegal",Seed,1.89,26.0,garciallc.tech,https://linkedin.com/company/garcia-llc,@garciallc9631,Angela Bean,Augmented Reality,30.0
131,"Snyder, Webster and Wolf",Mobility,Dynamic carpooling platforms reducing fuel usage.,2012,"Maldonadoshire, Norway",Seed,1.02,9.0,snyderwebsterandwolf.ai,https://linkedin.com/company/snyder-webster-and-wolf,@snyderwebste8502,Lori Lin,Artificial Intelligence,70.0
132,"Stewart, Gonzales and Harrison",CleanTech,Hydrogen production efficiency boosted by AI modeling.,2017,"Laurashire, Azerbaijan",Series A,3.68,85.0,stewartgonzalesandharrison.tech,https://linkedin.com/company/stewart-gonzales-and-harrison,@stewartgonza2527,Benjamin Murray,Computer Vision,30.0
133,Brown LLC,Mobility,AI copilots assisting fleet managers with sustainability KPIs.,2008,"Lake Michelleland, Nicaragua",Pre-Seed,,10.0,brownllc.ai,https://linkedin.com/company/brown-llc,@brownllc3454,Janice Carpenter,Quantum Computing,120.0
134,"Huang, Cole and Pacheco",CleanTech,Smart HVAC systems lowering commercial carbon footprints.,2015,"West Cassidy, Macao",Series C,112.2,137.0,huangcoleandpacheco.app,https://linkedin.com/company/huang-cole-and-pacheco,@huangcoleand982,Antonio Garcia,Computer Vision,30.0
135,Haas-Miller,Gaming,Esports talent scouting via performance AI analytics.,2018,"North John, Kazakhstan",Series D,265.19,333.0,haasmiller.ai,https://linkedin.com/company/haas-miller,@haasmiller8438,Kelly Bishop MD,Deep Learning,20.0
136,Hughes-Schroeder,EdTech,Interactive classrooms powered by real-time insights.,2017,"Port Crystalmouth, Bahrain",Seed,4.35,29.0,hughesschroeder.io,https://linkedin.com/company/hughes-schroeder,@hughesschroe5365,Justin Hughes,Deep Learning,80.0
137,Cummings-Douglas,Blockchain,On-chain royalties ensuring fair creator compensation.,2008,"West Christopher, Panama",Series C,,334.0,cummingsdouglas.io,https://linkedin.com/company/cummings-douglas,@cummingsdoug3525,Gregory Ponce,Cloud Computing,90.0
138,"Bates, Anderson and Fletcher",Mobility,AI copilots for ride-hailing route optimization.,2025,"West Angelicamouth, Suriname",IPO,,,batesandersonandfletcher.io,https://linkedin.com/company/bates-anderson-and-fletcher,@batesanderso4334,Michael Valentine,Augmented Reality,90.0
139,"Gaines, Davis and Santiago",Gaming,VR-first social hubs connecting global gamers.,2025,"Andrewport, Cocos (Keeling) Islands",Series B,29.32,170.0,gainesdavisandsantiago.ai,https://linkedin.com/company/gaines-davis-and-santiago,@gainesdavisa1947,Gloria Miranda,Big Data,25.0
140,Perez and Sons,E-commerce,Smart catalog enrichment automating listings.,2012,"North Kenneth, Solomon Islands",Series D,,712.0,perezandsons.com,https://linkedin.com/company/perez-and-sons,@perezandsons743,Randy Conley,Big Data,10.0
141,"Johnson, Rogers and Miranda",Blockchain,Proof-of-stake innovations for energy efficiency.,2018,"New Nicholas, Central African Republic",,,164.0,johnsonrogersandmiranda.io,https://linkedin.com/company/johnson-rogers-and-miranda,@johnsonroger6439,Michael Weber,Deep Learning,70.0
142,Griffith Inc,Blockchain,NFT loyalty points extending brand engagement.,2008,"Diazbury, Kenya",Series C,110.86,398.0,griffithinc.ai,https://linkedin.com/company/griffith-inc,@griffithinc437,Nicole Bowers,Virtual Reality,
143,Ferguson LLC,Gaming,Open-world games enhanced by generative landscapes.,2009,"Mckeeborough, Heard Island and McDonald Islands",Series B,18.53,188.0,fergusonllc.co,https://linkedin.com/company/ferguson-llc,@fergusonllc2422,Laura Alexander,5G,50.0
144,Strickland-Shaw,AI & Machine Learning,Proactive AI monitoring for system reliability and uptime.,2012,"Burchborough, Spain",Series D,100.97,826.0,stricklandshaw.co,https://linkedin.com/company/strickland-shaw,@stricklandsh1021,Shelley Williams,Cloud Computing,25.0
145,Sawyer-Spencer,Blockchain,Digital twins anchored to immutable chain records.,2013,"Lake Meghanville, Finland",Private Equity,289.91,1584.0,sawyerspencer.app,https://linkedin.com/company/sawyer-spencer,@sawyerspence4332,Christopher Cole,Big Data,
146,"Hernandez, Kim and Potts",EdTech,Learning analytics as early-warning for educators.,2014,"Port Shannon, Guernsey",Series C,88.68,386.0,hernandezkimandpotts.app,https://linkedin.com/company/hernandez-kim-and-potts,@hernandezkim4481,Jennifer Sanders,Computer Vision,70.0
147,Young-Vang,Cybersecurity,AI copilots for incident response orchestration.,2012,"Jeffreymouth, Venezuela",Series D,121.91,554.0,youngvang.co,https://linkedin.com/company/young-vang,@youngvang4202,Miguel Rogers,Edge Computing,
148,Taylor LLC,CleanTech,Water efficiency monitoring powered by IoT sensors.,2011,"Hortonberg, Senegal",Series C,100.42,442.0,taylorllc.tech,https://linkedin.com/company/taylor-llc,@taylorllc3698,Joan Smith,Virtual Reality,50.0
149,Smith and Sons,FinTech,Frictionless payments with enterprise-grade compliance.,2025,"New Shelby, New Caledonia",Series A,4.84,70.0,smithandsons.co,https://linkedin.com/company/smith-and-sons,@smithandsons3268,Ashley Roberts,Augmented Reality,70.0
150,Martinez-Allen,FinTech,Gamified saving experiences improving adoption.,2009,"Brownfort, Nepal",Series B,18.75,75.0,martinezallen.com,https://linkedin.com/company/martinez-allen,@martinezalle6505,Lynn Andrews,Augmented Reality,
151,"Thomas, Patterson and Mendez",SaaS,API-first SaaS that plugs into any enterprise stack.,2017,"New Robert, Papua New Guinea",Pre-Seed,0.21,5.0,thomaspattersonandmendez.co,https://linkedin.com/company/thomas-patterson-and-mendez,@thomaspatter8902,Kelly Ward,Quantum Computing,
152,"Stephens, Hartman and Romero",SaaS,Predictive analytics dashboards inside SaaS platforms.,2013,"South Morganton, North Macedonia",Seed,3.33,2.0,stephenshartmanandromero.app,https://linkedin.com/company/stephens-hartman-and-romero,@stephenshart5524,James Burgess,NLP,70.0
153,Kramer-Cooper,Mobility,AI copilots assisting fleet managers with sustainability KPIs.,2021,"Port Bonniemouth, Burkina Faso",Private Equity,89.03,578.0,kramercooper.io,,@kramercooper7823,Joshua Li,Augmented Reality,80.0
154,Greer Ltd,Blockchain,Token-curated registries ensuring trusted datasets.,2017,"Pollardfort, Norfolk Island",Series C,98.75,284.0,greerltd.app,https://linkedin.com/company/greer-ltd,@greerltd3872,Chad Baldwin,Cybersecurity,10.0
155,Johnson-Harris,Social Media,Data sovereignty tools returning control to users.,2011,"North Leslie, Georgia",Series C,142.88,213.0,johnsonharris.io,https://linkedin.com/company/johnson-harris,@johnsonharri2189,Virginia Daniels,Big Data,
156,Johnson-Lucas,Cybersecurity,Cybersecurity mesh architectures for modern networks.,2025,"Michaelton, Tonga",,,112.0,johnsonlucas.io,https://linkedin.com/company/johnson-lucas,@johnsonlucas9762,Denise Lloyd,Virtual Reality,15.0
157,Preston-Paul,IoT,Digital twins for real-world operational excellence.,2025,"Morganburgh, Luxembourg",Seed,1.21,7.0,prestonpaul.ai,https://linkedin.com/company/preston-paul,@prestonpaul8526,Holly Salinas,5G,150.0
158,Owen-Acosta,FinTech,Invisible payments enhancing retail experiences.,2009,"South Carrieburgh, Mayotte",,,263.0,owenacosta.co,https://linkedin.com/company/owen-acosta,@owenacosta7485,Brian Murphy,Quantum Computing,10.0
159,Parker-Morrison,AI & Machine Learning,AI governance frameworks for responsible innovation.,2008,"Jacksonmouth, Guernsey",Series C,99.4,,parkermorrison.ai,https://linkedin.com/company/parker-morrison,@parkermorris1045,Nicholas Buck,IoT,10.0
160,"Bolton, Hill and Whitney",AI & Machine Learning,Deep learning architectures that uncover hidden insights.,2012,"North Emilyfurt, Haiti",Private Equity,490.25,1060.0,boltonhillandwhitney.ai,https://linkedin.com/company/bolton-hill-and-whitney,@boltonhillan6267,Nicole Moore,Computer Vision,150.0
161,Thomas PLC,Social Media,Predictive algorithms surfacing relevant conversations.,2019,"Johnsonland, Dominica",,,,,https://linkedin.com/company/thomas-plc,@thomasplc6440,Holly Reyes,Augmented Reality,25.0
162,"Johnson, Hernandez and Cole",AI & Machine Learning,Lightweight ML models designed for IoT devices.,2025,"Nathanland, Montserrat",IPO,441.35,4073.0,johnsonhernandezandcole.ai,https://linkedin.com/company/johnson-hernandez-and-cole,@johnsonherna2542,Jacob Edwards,Computer Vision,60.0
163,Wright-Wilson,AI & Machine Learning,Conversational AI that adapts to user intent dynamically.,2008,"South April, United States Minor Outlying Islands",Private Equity,80.28,1114.0,wrightwilson.tech,https://linkedin.com/company/wright-wilson,@wrightwilson798,Deborah Green,Cybersecurity,50.0
164,Lewis-Carr,EdTech,Predictive analytics identifying at-risk students early.,2024,"Gonzalezberg, Timor-Leste",Pre-Seed,0.39,10.0,lewiscarr.ai,https://linkedin.com/company/lewis-carr,@lewiscarr9462,Christopher Reeves,Cybersecurity,80.0
165,Cochran LLC,CleanTech,Fusion energy control supported by AI simulations.,2016,"Jennaside, Mauritius",Private Equity,,1705.0,cochranllc.io,https://linkedin.com/company/cochran-llc,@cochranllc7000,Elijah Moore,NLP,
166,"Ho, Little and Leon",Cybersecurity,Zero-day exploit defense powered by ML predictions.,2021,"North Tracie, Somalia",,,154.0,holittleandleon.co,https://linkedin.com/company/ho-little-and-leon,@holittleandl3013,Richard Johnson,Cybersecurity,
167,"Armstrong, Mcdonald and Bird",HealthTech,Telehealth workflows that scale clinical outcomes.,2025,"New Nicole, Bahrain",IPO,474.86,3481.0,armstrongmcdonaldandbird.io,https://linkedin.com/company/armstrong-mcdonald-and-bird,@armstrongmcd4178,Zachary Higgins,Cybersecurity,40.0
168,"Jenkins, Ortiz and Andrews",E-commerce,Cross-channel identity management for personalized targeting.,2014,"West Dawn, Korea",,,,jenkinsortizandandrews.co,https://linkedin.com/company/jenkins-ortiz-and-andrews,@jenkinsortiz9912,Joseph Anderson,Machine Learning,10.0
169,"Bowman, White and Burch",Food Tech,Food quality checks powered by computer vision.,2023,"Shawton, Switzerland",,,171.0,bowmanwhiteandburch.ai,https://linkedin.com/company/bowman-white-and-burch,@bowmanwhitea252,Christian Martin,Augmented Reality,40.0
170,Donovan-Perez,PropTech,AI chatbots assisting residents with requests.,2014,"Meghanview, Congo",Series B,21.97,102.0,donovanperez.co,https://linkedin.com/company/donovan-perez,@donovanperez7640,Krista Martinez,Cloud Computing,90.0
171,Mendez-Davis,Blockchain,Blockchain payroll systems for gig economy workers.,2018,"New Shelly, Cape Verde",IPO,433.63,4908.0,mendezdavis.io,https://linkedin.com/company/mendez-davis,@mendezdavis2391,Marcus Winters,Machine Learning,5.0
172,Kirby-Elliott,Cybersecurity,Adaptive authentication adjusting to risk levels.,2018,"North Brandonshire, Estonia",Series A,12.26,80.0,kirbyelliott.app,https://linkedin.com/company/kirby-elliott,@kirbyelliott5531,Pamela Butler,Computer Vision,60.0
173,"Johnson, Small and Gardner",Food Tech,Drone-powered food delivery for instant convenience.,2019,"Timothyfurt, French Southern Territories",IPO,,4300.0,johnsonsmallandgardner.io,https://linkedin.com/company/johnson-small-and-gardner,@johnsonsmall8883,Michael Moore,Cloud Computing,10.0
174,Washington-Harris,Mobility,Autonomous delivery robots serving last-mile needs.,2008,"West Michelle, Ghana",Pre-Seed,1.27,3.0,washingtonharris.com,https://linkedin.com/company/washington-harris,@washingtonha3584,Shannon Hester,Augmented Reality,150.0
175,Hodges PLC,Gaming,Global virtual theme parks powered by VR ecosystems.,2023,"West Johnville, Ethiopia",IPO,,3669.0,hodgesplc.com,https://linkedin.com/company/hodges-plc,@hodgesplc275,Charles Williams,Quantum Computing,60.0
176,Lin-Barnes,Food Tech,IoT waste bins tracking and reducing restaurant loss.,2013,"Port Mark, Morocco",Private Equity,,,linbarnes.io,https://linkedin.com/company/lin-barnes,@linbarnes3949,Cheryl Moore,Augmented Reality,40.0
177,"Owens, Koch and Jimenez",PropTech,Automated compliance for real estate regulations.,2020,"South Williambury, Cuba",Seed,1.41,11.0,owenskochandjimenez.app,https://linkedin.com/company/owens-koch-and-jimenez,@owenskochand1321,Amber Campbell,IoT,10.0
178,"Khan, Pena and Ruiz",AI & Machine Learning,AI in financial forecasting for smarter investments.,2013,"Port Danielberg, Turkmenistan",Pre-Seed,,6.0,khanpenaandruiz.tech,https://linkedin.com/company/khan-pena-and-ruiz,@khanpenaandr1563,Jacob Powell,Augmented Reality,10.0
